📡  辽宁联通,#genre#
CCTV-4Kᵁᴴᴰ,http://42.4.217.176:9008/udp/232.0.0.158:1234
CCTV-4Kᵁᴴᴰ,http://42.4.217.176:9008/udp/232.0.0.166:1234
CCTV-1高清,http://42.4.217.176:9008/udp/232.0.0.27:1234
CCTV-2高清,http://42.4.217.176:9008/udp/232.0.0.135:1234
CCTV-3高清,http://42.4.217.176:9008/udp/232.0.0.170:1234
CCTV-4高清,http://42.4.217.176:9008/udp/232.0.0.201:1234
CCTV-4欧洲,http://42.4.217.176:9008/udp/232.0.0.53:1234
CCTV-4美洲,http://42.4.217.176:9008/udp/232.0.0.59:1234
CCTV-5高清,http://42.4.217.176:9008/udp/232.0.0.171:1234
CCTV-6高清,http://42.4.217.176:9008/udp/232.0.0.172:1234
CCTV-7高清,http://42.4.217.176:9008/udp/232.0.0.136:1234
CCTV-8高清,http://42.4.217.176:9008/udp/232.0.0.173:1234
CCTV-9高清,http://42.4.217.176:9008/udp/232.0.0.137:1234
CCTV10高清,http://42.4.217.176:9008/udp/232.0.0.138:1234
CCTV11高清,http://42.4.217.176:9008/udp/232.0.0.178:1234
CCTV12高清,http://42.4.217.176:9008/udp/232.0.0.139:1234
CCTV13高清,http://42.4.217.176:9008/udp/232.0.0.15:1234
CCTV14高清,http://42.4.217.176:9008/udp/232.0.0.140:1234
CCTV15高清,http://42.4.217.176:9008/udp/232.0.0.179:1234
CCTV16高清,http://42.4.217.176:9008/udp/232.0.0.182:1234
CCTV17高清,http://42.4.217.176:9008/udp/232.0.0.230:1234
CCTV5+高清,http://42.4.217.176:9008/udp/232.0.0.93:1234
环球西班牙语,http://42.4.217.176:9008/udp/232.0.0.6:1234
环球法语高清,http://42.4.217.176:9008/udp/232.0.0.8:1234
环球俄罗斯语,http://42.4.217.176:9008/udp/232.0.0.28:1234
环球阿拉伯语,http://42.4.217.176:9008/udp/232.0.0.43:1234
环球英语高清,http://42.4.217.176:9008/udp/232.0.0.188:1234
环球纪录高清,http://42.4.217.176:9008/udp/232.0.0.198:1234
第一剧场高清,http://42.4.217.176:9008/udp/232.0.0.29:1234
怀旧剧场高清,http://42.4.217.176:9008/udp/232.0.0.38:1234
风云剧场高清,http://42.4.217.176:9008/udp/232.0.0.45:1234
风云音乐高清,http://42.4.217.176:9008/udp/232.0.0.47:1234
女性时尚高清,http://42.4.217.176:9008/udp/232.0.0.51:1234
风云足球高清,http://42.4.217.176:9008/udp/232.0.0.52:1234
文化精品高清,http://42.4.217.176:9008/udp/232.0.0.56:1234
兵器科技高清,http://42.4.217.176:9008/udp/232.0.0.58:1234
央视台球高清,http://42.4.217.176:9008/udp/232.0.0.60:1234
世界地理高清,http://42.4.217.176:9008/udp/232.0.0.63:1234
电视指南高清,http://42.4.217.176:9008/udp/232.0.0.91:1234
广西卫视高清,http://42.4.217.176:9008/udp/232.0.0.22:1234
海南卫视高清,http://42.4.217.176:9008/udp/232.0.0.26:1234
江西卫视高清,http://42.4.217.176:9008/udp/232.0.0.31:1234
河北卫视高清,http://42.4.217.176:9008/udp/232.0.0.32:1234
河南卫视高清,http://42.4.217.176:9008/udp/232.0.0.33:1234
云南卫视高清,http://42.4.217.176:9008/udp/232.0.0.37:1234
东南卫视高清,http://42.4.217.176:9008/udp/232.0.0.42:1234
黑龙江卫视ᴴᴰ,http://42.4.217.176:9008/udp/232.0.0.95:1234
深圳卫视高清,http://42.4.217.176:9008/udp/232.0.0.110:1234
湖南卫视高清,http://42.4.217.176:9008/udp/232.0.0.115:1234
江苏卫视高清,http://42.4.217.176:9008/udp/232.0.0.116:1234
北京卫视高清,http://42.4.217.176:9008/udp/232.0.0.117:1234
东方卫视高清,http://42.4.217.176:9008/udp/232.0.0.122:1234
浙江卫视高清,http://42.4.217.176:9008/udp/232.0.0.123:1234
湖北卫视高清,http://42.4.217.176:9008/udp/232.0.0.124:1234
天津卫视高清,http://42.4.217.176:9008/udp/232.0.0.125:1234
辽宁卫视高清,http://42.4.217.176:9008/udp/232.0.0.126:1234
广东卫视高清,http://42.4.217.176:9008/udp/232.0.0.130:1234
山东卫视高清,http://42.4.217.176:9008/udp/232.0.0.131:1234
安徽卫视高清,http://42.4.217.176:9008/udp/232.0.0.141:1234
吉林卫视高清,http://42.4.217.176:9008/udp/232.0.0.180:1234
贵州卫视高清,http://42.4.217.176:9008/udp/232.0.0.181:1234
四川卫视高清,http://42.4.217.176:9008/udp/232.0.0.185:1234
重庆卫视高清,http://42.4.217.176:9008/udp/232.0.0.186:1234
辽宁影视高清,http://42.4.217.176:9008/udp/232.0.0.25:1234
辽宁宜佳购物,http://42.4.217.176:9008/udp/232.0.0.30:1234
辽宁生活高清,http://42.4.217.176:9008/udp/232.0.0.150:1234
辽宁北方高清,http://42.4.217.176:9008/udp/232.0.0.151:1234
辽宁都市高清,http://42.4.217.176:9008/udp/232.0.0.154:1234
辽宁经济高清,http://42.4.217.176:9008/udp/232.0.0.156:1234
